Time, Altitude, Velocity, Temperature (F), Voltage
16.85, 1591, -17, 89.37, 4.15
16.90, 1590, -17, 89.37, 4.15
16.95, 1589, -17, 89.37, 4.15
17.00, 1589, -17, 89.37, 4.15
17.05, 1588, -17, 89.37, 4.15
17.10, 1587, -16, 89.37, 4.15
17.15, 1585, -16, 89.37, 4.15
17.20, 1583, -16, 89.37, 4.15
17.25, 1584, -16, 89.37, 4.15
17.30, 1583, -16, 89.37, 4.15
17.35, 1582, -16, 89.37, 4.15
17.40, 1580, -16, 89.37, 4.15
17.45, 1580, -16, 89.35, 4.15
17.50, 1579, -17, 89.37, 4.15
17.55, 1578, -17, 89.37, 4.15
17.60, 1578, -17, 89.37, 4.15
17.65, 1577, -18, 89.37, 4.15
17.70, 1576, -18, 89.37, 4.15
17.75, 1575, -18, 89.37, 4.15
17.80, 1573, -19, 89.37, 4.15
17.85, 1572, -19, 89.37, 4.15
17.90, 1572, -19, 89.37, 4.15
17.95, 1570, -19, 89.37, 4.15
18.00, 1570, -19, 89.37, 4.15
18.05, 1569, -19, 89.37, 4.15
18.10, 1567, -19, 89.37, 4.15
18.15, 1566, -19, 89.37, 4.15
18.20, 1566, -19, 89.37, 4.15
18.25, 1565, -19, 89.37, 4.15
18.30, 1565, -19, 89.35, 4.15
18.35, 1562, -18, 89.37, 4.15
18.40, 1562, -18, 89.37, 4.15
18.45, 1562, -18, 89.37, 4.15
18.50, 1559, -19, 89.37, 4.15
18.55, 1559, -19, 89.37, 4.15
18.60, 1558, -19, 89.37, 4.15
18.65, 1557, -19, 89.37, 4.15
18.70, 1556, -19, 89.37, 4.15
18.75, 1554, -19, 89.37, 4.15
18.80, 1554, -18, 89.37, 4.15
18.85, 1552, -18, 89.37, 4.15
18.90, 1552, -18, 89.37, 4.15
18.95, 1551, -18, 89.37, 4.15
19.00, 1550, -18, 89.37, 4.15
19.05, 1550, -18, 89.37, 4.15
19.10, 1547, -18, 89.37, 4.15
19.15, 1547, -18, 89.37, 4.15
19.20, 1548, -17, 89.37, 4.15
19.25, 1546, -17, 89.37, 4.15
19.30, 1546, -17, 89.35, 4.15
19.35, 1544, -17, 89.37, 4.15
19.40, 1545, -17, 89.37, 4.15
19.45, 1543, -17, 89.37, 4.15
19.50, 1542, -17, 89.37, 4.15
19.55, 1540, -17, 89.37, 4.15
19.60, 1540, -17, 89.37, 4.15
19.65, 1540, -17, 89.37, 4.15
19.70, 1539, -17, 89.37, 4.15
19.75, 1537, -17, 89.37, 4.15
19.80, 1536, -17, 89.37, 4.15
19.85, 1536, -17, 89.37, 4.15
19.90, 1536, -17, 89.37, 4.15
19.95, 1536, -17, 89.37, 4.15
20.00, 1534, -17, 89.37, 4.15
20.05, 1532, -17, 89.37, 4.15
20.10, 1533, -17, 89.37, 4.15
20.15, 1531, -17, 89.37, 4.15
20.20, 1531, -18, 89.37, 4.15
